sample,thickness_m,height_m,width_m,youngs_modulus_pa,density_kg_m3,tip_force_n,max_stress_pa,tip_deflection_m,mode_1_frequency_hz
62,0.0018104513571677162,0.03305583566912089,0.08133330897933375,206737114341.6847,8089.2374678529295,1245.6753580709078,234317000.0,0.02505715,40.02304
63,0.001533271615964456,0.04149268016071265,0.06558739106811,209309655163.92206,7818.063872536624,1198.6745151553614,236665000.0,0.02004634,50.02722
64,0.0015552333603544451,0.047417731314487614,0.09747576055477977,190354470200.9213,7925.219698506091,1087.0247565230504,128152000.0,0.01039898,55.8595
65,0.0016672472810530382,0.048524481264382725,0.07266257918111971,201063416373.79974,7982.881521422783,1076.979359584971,148613000.0,0.01121207,56.50439
66,0.0015087258522320176,0.03833161081957994,0.06219293936000246,211861973254.44263,7682.987697314112,1239.45481844579,286897000.0,0.02598205,46.94104
67,0.0010943492009776073,0.04242936707508761,0.06900331615345612,196129038011.10526,7627.698072608558,1273.6978697253812,319005000.0,0.02819403,50.8425
68,0.001098437411929137,0.04211201881720414,0.071840237227373,206318455998.29846,7954.716091562136,732.5957241044068,178383000.0,0.01509239,50.9313
69,0.0011277871609362573,0.04708403222970293,0.06802674522111148,220824491248.9109,7640.9095592730155,769.7235599213241,166825000.0,0.01181374,59.10413
70,0.001571942000993591,0.046895330189910524,0.07302855824998666,201775626244.15155,7932.801795772787,776.907234127443,117528000.0,0.009138944,55.17533
71,0.001364687461921345,0.04629069814242219,0.0725595656132697,217576383945.809,8050.394074822352,747.0382218269687,131375000.0,0.009596979,56.41058
72,0.0013395228943587454,0.03751342128165477,0.09031542144478774,201563932530.2451,8091.072204569828,888.6734699210747,170410000.0,0.01646369,45.59591
73,0.0016186037584320428,0.037045832712128406,0.09391678789603625,222255875252.24966,8088.8750763206945,1221.3945628117685,193891000.0,0.01717535,47.13879
74,0.0015765096237433424,0.04943731957359525,0.09961190951201905,223099135090.5291,7964.265378908065,964.9683502109574,104822000.0,0.006962929,62.81112
75,0.001999458482497364,0.04817444343089787,0.0626415836172081,219497191947.5816,7900.945499685009,1193.6604292360869,159874000.0,0.0111395,57.53912
76,0.0010859152988968398,0.038196170754390794,0.08514323373719196,219107881050.75043,7717.908278994176,910.9797601253435,218138000.0,0.01907864,49.55567
77,0.0017480399456408916,0.03799549181687149,0.08137727352413268,220195451416.05246,7646.427586850042,908.625843694402,148075000.0,0.01296576,48.61301
78,0.0017961079510928838,0.03447315166522947,0.0723537586227354,201151015683.87875,7690.350766844755,889.6712867083654,177220000.0,0.01873818,41.70928
79,0.0015997031220201599,0.04422169930141591,0.09924767724874074,219576808188.93622,7737.880782473802,853.4390864681527,105123000.0,0.007913983,56.93701
80,0.0011474438489084374,0.03227703063426461,0.0850857677429055,220407230871.70743,8068.365370882581,1132.7058269240974,315737000.0,0.03238096,41.43197
81,0.0015591824337811426,0.048804165373038916,0.08243293550012729,190467807136.2078,7872.963940165722,841.0979199470117,110154000.0,0.008711099,56.57787
82,0.0012330517346498197,0.047075878656744646,0.06491420336535023,212850395966.96976,7886.29799781889,1064.0224618213585,220634000.0,0.01621748,56.67476
83,0.001332695133886958,0.04120461629053434,0.06769700542224112,213761559893.148,7675.5685818048205,1163.6487850228707,256140000.0,0.02138535,51.11914
84,0.0017172786853310996,0.04544554138719416,0.06434106354492142,202957951797.92935,7984.078942802705,929.7956404897802,150226000.0,0.01199255,52.66065
85,0.001458959449770519,0.040143204665212505,0.09325484394466046,213881383234.63583,7723.505858353483,1247.0609719307977,198253000.0,0.0168757,51.23284
86,0.0019258558817058541,0.04161768824440258,0.09559555456664745,201390357199.47064,7674.665869959498,759.79240666577,88261800.0,0.007695855,51.14129
87,0.001309372213260396,0.043673263067597896,0.07399882537251519,217172097860.28354,7628.143451976425,1227.55328611217,237025000.0,0.0183713,55.07916
88,0.0013916927742018788,0.04958236974531398,0.09487042619553082,197114455644.72452,7724.041570819099,835.6054426328997,105761000.0,0.007937739,60.0357
89,0.0014304557902172909,0.03234880538564285,0.09082498679606672,205980621554.4161,7920.612158304836,906.8309336384966,195210000.0,0.02132564,40.3866
90,0.0016479785447100486,0.04160447392429032,0.06715799293576262,195588537408.7019,7645.834093132124,836.9964348513397,151359000.0,0.01368052,49.01709
91,0.0014840217339946327,0.039791985100590975,0.08145287442152946,217090677483.49716,7615.858404111431,970.6621052640947,172721000.0,0.01465851,50.85731
92,0.0010252148545683163,0.03509311822578874,0.08921957358617642,192139635468.08743,7870.530673065809,1278.2191924314243,342983000.0,0.0371235,42.70743
93,0.0017776381466955383,0.038807344269602376,0.08335642807288206,196213700340.05396,8038.707940669686,1275.4117629491182,195361000.0,0.01879191,45.73113
94,0.0011588271096539704,0.04245824156086938,0.09247327077323544,204682943278.2161,8070.156411615238,869.6348935594258,160797000.0,0.01354181,51.99053
95,0.0014907017018997316,0.04777987268280735,0.07529896775847683,204555932406.2795,8004.633391615067,1226.152567077686,185360000.0,0.01395305,56.54602
96,0.0016113230870334054,0.032545598760561664,0.08076139419931302,197786196068.73785,7756.147984483119,923.7942502205158,197163000.0,0.02238252,39.59974
97,0.0013681808955122573,0.04259886353814067,0.09833197805609331,199986158644.3086,7658.501183041469,1149.3623067507945,172204000.0,0.01476881,52.97057
98,0.001361790040568208,0.03713365210975875,0.06856661298619586,210045841743.17447,7973.822493417563,820.7933732372685,199348000.0,0.01877233,45.18773
99,0.0018596167939806747,0.04477910636725525,0.06960580316331967,210898625487.022,7708.692464927579,761.6818273701307,109397000.0,0.008522956,54.20973
100,0.001211985371087414,0.049485991204162375,0.09490375732274409,216695636115.88516,8097.018194052457,1233.2555707484103,177883000.0,0.01216774,61.58928
101,0.0016730449882527447,0.036832588427725375,0.07048773377024288,217249551283.7297,7631.0367887764505,843.0615937951142,168176000.0,0.0154292,46.36567
102,0.001984266397123476,0.04851989225343739,0.07122140691976049,197599193791.03308,8099.446896197589,947.6150771086211,113824000.0,0.008740041,55.11961
103,0.0012080603697665888,0.04510455518906847,0.060536941740360964,200658637255.17935,7613.250016462065,1195.1842085664243,282157000.0,0.02296308,53.47129
104,0.0017077522604502717,0.039882525909429714,0.07145781254979766,195495721018.0728,7806.014459830505,988.6420318525677,173256000.0,0.0163252,46.87674
105,0.0011480441660418523,0.04138118326392101,0.09273650542795521,219394062650.93817,7972.444538289862,810.6375282556171,155546000.0,0.01253204,52.907
106,0.0018541505966655604,0.03351838700873777,0.0635170423418239,206843910836.10852,8011.951301527686,835.4688612506625,188075000.0,0.01992095,39.75445
107,0.001968649388742665,0.04288232270493278,0.09353810234537988,193019418041.6361,7933.260568531524,933.038954089472,104399000.0,0.00922896,50.50543
108,0.0017099020725803533,0.04833555673458412,0.09779024817812998,199879931228.67627,7955.99549987506,858.9824447894604,90494800.0,0.006862408,57.99086
109,0.0016426454252012712,0.048234934137591376,0.06036789155539573,220877305558.30313,8043.328387191144,1038.1148099639672,188791000.0,0.01178718,57.44239
110,0.001872294437740736,0.04753947086875726,0.07865173242630848,196769073944.4217,7792.409679749117,1223.9236719187027,146110000.0,0.0114848,55.77594
111,0.0011974503498984898,0.035460083927761815,0.08270499250544484,224644063188.6135,7977.658073061454,1291.93883302283,317101000.0,0.02911953,45.78276
112,0.0014523851367880475,0.0453920452386776,0.0653362910354391,190671444063.4208,8032.86317872197,813.3101536844524,151104000.0,0.01285387,51.21867
113,0.0010340048399254743,0.03625876828363566,0.08667238297276694,200052534163.49548,7986.084701239714,1133.8037000846437,297724000.0,0.03000099,44.47878
114,0.001685731266173374,0.04782684637532483,0.07743462666649217,202795861467.3618,7786.982331219,793.0560641001998,104605000.0,0.007932236,57.08203
115,0.0013407309194700965,0.037747641471354364,0.07284636945827958,204142855350.90088,7970.248036878425,1236.950972035666,283430000.0,0.02699798,45.54985
116,0.0014934309182497764,0.04867170811524417,0.08446119223064955,217067226008.86383,7853.090935185577,1025.7645495336578,137356000.0,0.009553524,60.56283
117,0.001198515364101164,0.04605473318741011,0.07138772486327924,214059043169.59396,7722.758627938373,1044.0130091833976,211146000.0,0.01575988,56.96
118,0.0010216891168718333,0.04665652468284953,0.07677734024534,222440695742.391,7840.208025574859,864.6594110687491,188005000.0,0.01332178,58.99988
119,0.0016051232274828316,0.03291885473689088,0.0692004238600852,207662778176.61148,7614.1853615568825,832.1169352369369,201270000.0,0.02159107,40.81618
120,0.0011084248203275414,0.04938133354358168,0.089075026341301,218762867408.98798,7894.347077873436,734.8535806861746,121922000.0,0.008288404,62.26866
121,0.0010369745358713997,0.04134441299025676,0.08375713257988655,201412815783.43695,7650.89699731587,896.7507050880342,206721000.0,0.01820158,51.33057
122,0.0016395078667769901,0.04052964090437894,0.07204359057260706,215513873853.912,7778.687430050972,872.7388474209101,154326000.0,0.01298133,50.17742
123,0.0014157767992635016,0.040194157842392365,0.09439515772393388,216831126719.2073,7878.792979458475,927.6375141174597,149726000.0,0.01255155,51.24648
124,0.0017992117484456438,0.046781002053209515,0.07455986714338601,224082155074.0301,7716.137235436259,783.9985203249857,103531000.0,0.007265009,58.6775
125,0.0017809836652883742,0.033854377927765744,0.07669335246711916,193469807108.58975,7931.2194188624735,928.190555552542,181016000.0,0.02023451,39.82768
126,0.0018994793029131695,0.038684390344125165,0.07414060137175774,203196409561.96143,8060.316741642341,1179.7260965494438,189596000.0,0.01770411,45.6568
127,0.0016013385285158902,0.04103850615376679,0.06295611445681225,212367746127.63324,7728.288441958403,794.6194551861311,158395000.0,0.01337289,49.8604
128,0.001161905251959989,0.049023024606621016,0.09408649414451756,214989351815.27252,7711.8116780251885,715.5624597845181,109396000.0,0.007613808,62.32751
129,0.0014257787410648756,0.03924967462568138,0.07518066888730088,213480155156.46985,8022.409804617234,1098.5806776002923,220874000.0,0.01934913,48.19462
130,0.0014419905172141762,0.04305727869946367,0.07179047047308584,197758607955.97266,7696.227062611864,967.7734101498513,178660000.0,0.01542724,51.32497
131,0.0013114914730324918,0.04874292342748751,0.06476364340557611,200317760288.19666,7867.015350466382,903.5661567056329,169733000.0,0.01280713,56.69805
132,0.0011763736813083599,0.04772053763175818,0.07633606291822068,216137948625.67963,7885.7836443047745,791.903168687453,147498000.0,0.01051969,58.96296
133,0.001477364728731273,0.04798118809784911,0.09711761321839203,199425746494.1215,8013.980965852183,1214.601414690902,148417000.0,0.01136437,57.55383
134,0.0019405496333582983,0.04659050871551539,0.0913009135690834,221267799278.0209,7921.109980542882,1130.0874033423659,117972000.0,0.008391213,58.40195
135,0.0010137479473165067,0.04697082612818761,0.09250455236584562,211057893924.44907,8048.492707298418,715.6098706288856,132834000.0,0.009825069,58.20305
136,0.0011759919847905333,0.047407403127131695,0.07712055323344556,207599075281.6106,7754.873090024482,1087.7232373602951,202562000.0,0.01513759,57.99004
137,0.0016822392393997447,0.046308696785127994,0.07835025663761114,213850876896.59494,7771.949480303628,1127.686518869331,153611000.0,0.01140235,57.03368
138,0.0014074104896135945,0.04594410964232023,0.07897310038585259,216668728761.926,8023.4042862253145,726.1224633523758,116673000.0,0.008614212,56.46961
139,0.0013202522230041924,0.036418868077763775,0.06515113838934117,208091252141.19373,7842.603833499941,1038.7868550836802,277656000.0,0.02692092,44.35309
140,0.001852548460730569,0.0343195902393685,0.08393932622102523,219611160804.68048,7896.5807276120995,1000.5825003377374,171252000.0,0.01660204,43.35496
141,0.0019279750602441176,0.03236734297197283,0.08211838159463633,205931442699.87476,7772.905928036911,943.7324122939896,171303000.0,0.01876819,39.81932
142,0.001179209985519919,0.04126342706246447,0.08358805006749055,202882691525.93213,7861.821558238178,1096.9605496085205,225316000.0,0.01973357,50.55017
143,0.0010402820342788846,0.03754714702121089,0.06590302820739813,224127113937.82776,7979.266505095437,1270.145961119427,402599000.0,0.03516036,47.34532
144,0.0015432418946099255,0.043177387298473424,0.07058066268715842,195968820481.6343,7880.217039869974,846.9160794176302,148653000.0,0.01291986,50.4112
145,0.0017897907698063906,0.037259456961528395,0.06449075419685432,194984133179.4927,7892.900137522839,806.5547231595023,161441000.0,0.01633296,43.12068
146,0.0011025127992697846,0.04377116695659505,0.08616166202930342,195643599872.3751,7889.280687466309,1172.9349146938143,232705000.0,0.01993085,52.57549
147,0.0013272107402237,0.04286051123041042,0.07755130070968815,195209330743.83765,7777.590860022376,785.6778702929588,147350000.0,0.01293582,51.06307
148,0.001552129237260867,0.032991164950761445,0.06502426062553995,195713595581.19818,7852.605893017407,789.8426695683685,207144000.0,0.02354884,38.92176
149,0.001299674256998891,0.04723935576535783,0.06085284177966328,222763157112.5701,7961.756403254642,887.0812905938742,203725000.0,0.01287582,57.3638
150,0.0010804929908739996,0.03538828270213096,0.08741775093145028,198315853832.88483,7916.814233865129,741.3735852383602,190994000.0,0.01987739,43.45706
151,0.0015410631667175066,0.03670666016576524,0.07703638615064085,202356295606.17715,7980.040667652364,760.4169769590968,151639000.0,0.01496472,44.1631
152,0.0017650089868867427,0.04279601508533494,0.09637980509675603,199289365823.5298,8017.235196447393,908.9479470432825,109425000.0,0.009379938,51.33874
153,0.001754196716292867,0.03743655553010297,0.08840141066535163,224863290060.70624,7945.928177859497,871.4346477568866,134129000.0,0.01164538,47.88287
154,0.001881391066947048,0.04670409566285368,0.07551224176890356,195120794212.95386,7632.383243820923,831.3491627172374,104596000.0,0.008441637,54.95187
155,0.0016696693773532653,0.03454688280292159,0.07310717503800142,209960364678.95435,7740.415772139939,979.9178446869764,205507000.0,0.02077013,42.75992
156,0.00172540793427418,0.03220263490506482,0.08884761160284588,198136798951.9779,7776.227647012325,998.5518237669831,187022000.0,0.0213494,39.3694
157,0.0017021169222865239,0.035775656407852026,0.09952831023340611,201682972304.8045,7888.735460188848,1092.5842257567185,164546000.0,0.01658161,44.0992
158,0.001073641015855308,0.03482911155447284,0.08852401125600447,221832831871.88837,7942.289754798664,883.7783984207174,230871000.0,0.02180959,45.26593
159,0.001908250849720289,0.04840378440275349,0.09331753196845698,196352611551.7294,7620.75520349845,1115.0064951245777,110586000.0,0.008533694,58.29225
160,0.001454119961978385,0.0340560324021702,0.07369781130293379,222863763693.50986,8036.509392084488,1108.564305200581,265368000.0,0.02562342,42.95339
161,0.0017129268639728458,0.049336355728950884,0.06854945961336864,211271203530.2992,7610.047750284154,1159.0215630884964,160414000.0,0.01133506,59.76948
162,0.0019460935889501897,0.04257811123240244,0.07787564667583681,198455459792.26538,7757.7468153938735,1208.7639345054865,161550000.0,0.01404004,50.53095
163,0.0012737620933785197,0.049822993457325354,0.07661427736068141,214877430955.166,7827.534985868011,753.5194585057056,123220000.0,0.008470432,61.26916
164,0.001248936227817308,0.03231725939799385,0.08432091168811844,200162718449.19073,7623.258385367269,1199.8374888435833,311733000.0,0.0351699,40.51074
165,0.0015136942457557475,0.048598856029102154,0.07245268903460947,195316492531.72122,7767.657596323189,778.246651563405,117294000.0,0.009096162,56.69472
166,0.0016927545825100236,0.03740896981094918,0.08233650916929101,204755163177.22437,7823.076216683907,826.6744124764956,139844000.0,0.013368,45.78586
167,0.0014187219727014716,0.04636391688418688,0.0620805305201271,224980337252.9825,7999.93793689346,863.8500855501562,166492000.0,0.01175738,56.53747
168,0.001871741939885636,0.04704251623843433,0.08826941737495758,198022495082.5901,7636.078147549845,1287.6170122064705,141190000.0,0.01112311,56.66618
169,0.0011925476397432323,0.038103400420514424,0.08562720389590966,192198021325.02988,7712.527216027241,1242.4599266864507,272336000.0,0.0272144,46.22279
170,0.00163131457271449,0.042217619521955026,0.08746575247512962,214300779470.70844,7824.9597462600605,1045.0604407738929,149325000.0,0.01209373,52.87032
171,0.0011162150246206255,0.03960501372971878,0.06424065538268019,215932801033.1882,7963.340004281199,1042.8370236626345,296419000.0,0.02549245,48.6212
172,0.001334104928800668,0.039834811922411964,0.09538091914298508,218461780185.71167,7784.438181069937,1152.736260957974,196773000.0,0.01651178,51.46689
173,0.0015209821316964974,0.04042734489223126,0.07692645592096578,221524704974.12997,7918.6576375667,935.9102119981228,167821000.0,0.01375515,50.7931
174,0.0017951198997835328,0.04175147094734076,0.08047266210567527,199753275705.37973,7710.344482261657,1295.6045083429478,185214000.0,0.01629598,50.27361
175,0.0018579604671093146,0.032132244313663814,0.06190417521221926,211435529400.42194,7617.1393695986035,810.1039835473287,196506000.0,0.02123775,39.48781
176,0.0015666643016823039,0.040851342939075504,0.09181798779795186,196570294185.26367,7814.716479233401,1067.5903161431809,157912000.0,0.01438314,49.43597
177,0.0010301793461796294,0.04189270919331473,0.06395663367720394,224180902622.91296,7680.047077531514,891.2679274205354,255579000.0,0.02002602,53.17874
178,0.0019194897861379452,0.049725482786351104,0.07933436070706576,214081671012.65158,7793.600323864836,952.3774867350868,104316000.0,0.007208376,60.63727
179,0.0011119535448353066,0.04195759778793915,0.08768999139093421,212217284078.88968,7648.556057113604,1002.4768750006771,204515000.0,0.01682836,53.56637
180,0.0017462920312477056,0.04520040023574237,0.0989164361278367,191925712302.07352,7770.3677974998855,739.1990664796494,82142400.0,0.006925448,54.02975
181,0.0010915115899984684,0.0350271438139308,0.09096609004004012,222630967397.99664,7677.021795569235,1222.3060101690644,305025000.0,0.02852727,46.4586
182,0.0019304706655428761,0.048352546756689346,0.08876155138952463,207888048346.384,7695.759773723851,1288.4262169667688,132188000.0,0.009654109,59.29403
183,0.0011314213597277954,0.04642671889725072,0.08627312309007232,195851301232.82425,7780.781143391206,1153.8207327798966,207879000.0,0.01678317,55.88252
184,0.0018142788601614112,0.0409579628172916,0.072239399437376,206216470902.20294,7612.20248916432,1175.3929913605189,187117000.0,0.01627822,49.90726
185,0.001291723341859768,0.04154812390755741,0.08575074366661525,193612695618.68906,7857.001390484988,856.9688910121229,157012000.0,0.01430492,49.70642
186,0.001715692072834845,0.039904779188028316,0.07571042651792241,204214696945.23108,7678.019178854467,1105.5164312360903,183449000.0,0.01652507,48.61534
187,0.001939724004965304,0.03722753343293975,0.08861834942781834,213598060565.83456,8049.336546742771,1067.0657862371431,151196000.0,0.01389398,45.9032
188,0.0017703349414301519,0.03703365117031971,0.07628612036842564,207531347055.00085,7657.49923385092,705.1766045012619,124144000.0,0.01184369,45.7135
189,0.0012386946265302615,0.03858828648780099,0.07256004624726206,204103847841.8155,7667.904800913039,911.5265880412376,219216000.0,0.02043719,47.49902
190,0.0012620466718435668,0.033716540250045356,0.075403103289133,205860265615.2629,7608.948580845443,1134.7932826825318,306003000.0,0.03229125,42.35507
191,0.0016712933246098632,0.04403165130051327,0.08897343039397744,204012513844.93814,8085.58333400196,994.814145181311,130136000.0,0.01061867,52.82385
192,0.001064502358440666,0.044643149980381665,0.09196069940428869,222977487828.63245,8084.856091303922,1061.3451174644092,200983000.0,0.01479317,56.87491
193,0.0018258078095340561,0.032678473081206035,0.07467729279893809,193845273706.38687,7816.9471928985995,1141.599377507001,233240000.0,0.0269585,38.6695
194,0.0014351273666806115,0.03550011354027348,0.07095721293197761,212634341967.5474,7844.176872682584,868.9983989817066,206664000.0,0.02008854,44.01982
195,0.0017337062725303572,0.04226501116494966,0.09561415003120399,222162274076.3615,8081.180800120706,1236.2886927070906,154633000.0,0.01203957,53.35685
